"Estado","respiradores","leitos_covid","leitos_covid_uti","ocupacao_covid","ocupacao_covid_uti"
"AL",27,2,15,33,12
"AM",73,0,0,12,0
"BA",467,130,108,296,162
"CE",92,138,17,228,130
"ES",121,0,0,41,32
"GO",226,40,81,31,45
"MA",13,44,30,62,25
"MG",935,1054,333,145,133
"MS",54,187,33,5,1
"MT",86,41,18,19,15
"PA",124,91,10,29,51
"PB",22,0,0,6,0
"PE",215,129,66,102,91
"PI",81,126,25,50,30
"PR",209,218,114,52,43
"RJ",106,0,0,8,17
"RN",76,0,0,20,19
"RS",292,145,38,51,29
"SC",396,658,116,64,37
"SE",14,0,10,47,45
"SP",3388,1216,973,1111,891
"TO",102,36,28,5,15
